type,language,sentence,by,length
quote,en,Be yourself; everyone else is already taken.,Oscar Wilde,7
quote,en,"So many books, so little time.",Frank Zappa,6
quote,en,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,16
quote,en,A room without books is like a body without a soul.,Marcus Tullius Cicero,11
quote,en,"You only live once, but if you do it right, once is enough.",Mae West,13
quote,en,Be the change that you wish to see in the world.,Mahatma Gandhi,11
quote,en,In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,15
quote,en,"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,21
quote,en,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,18
quote,en,A friend is someone who knows all about you and still loves you.,Elbert Hubbard,13
quote,en,Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,9
quote,en,Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,16
quote,en,"Without music, life would be a mistake.","Friedrich Nietzsche, Twilight of the Idols",7
quote,en,"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,14
quote,en,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,26
quote,en,It does not do to dwell on dreams and forget to live.,"J.K. Rowling, Harry Potter and the Sorcerer's Stone",12
quote,en,"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,13
quote,en,"We are all in the gutter, but some of us are looking at the stars.","Oscar Wilde, Lady Windermere's Fan",15
quote,en,Life is what happens to us while we are making other plans.,Allen Saunders,12
quote,en,"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,12
quote,en,The man who does not read has no advantage over the man who cannot read.,Mark Twain,15
quote,en,If you don't stand for something you will fall for anything.,Gordon A. Eadie,11
quote,en,I solemnly swear that I am up to no good.,"J.K. Rowling, Harry Potter and the Prisoner of Azkaban",10
quote,en,"A day without sunshine is like, you know, night.",Steve Martin,9
quote,en,That which does not kill us makes us stronger.,Friedrich Nietzsche,9
quote,en,It is never too late to be what you might have been.,George Eliot,12
quote,en,For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,12
quote,en,"If you judge people, you have no time to love them.",Mother Teresa,11
quote,en,"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,15
quote,en,Everything you can imagine is real.,Pablo Picasso,6
quote,en,Always remember Arsenal will only lift their hands at the end of season,Willywonka,13
quote,en,Always remember  Arsenal are the best club in the Premier league,NyKhanomjam,12
quote,en,I owe everything I am and everything I will ever be to books.,Gary Paulsen,13
quote,en,Some of these things are true and some of them lies. But they are all good stories.,Hilary Mantel,17
quote,en,A peasant that reads is a prince in waiting.,Walter Mosley,9
quote,en,"If you don’t like to read, you haven’t found the right book.", J.K Rowling,12
quote,en,Why can't people just sit and read books and be nice to each other?,David Baldacci,14
quote,en,Take a good book to bed with you—books do not snore.,Thea Dorn,11
quote,en,We live and breathe words.,Cassandra Clare,5
quote,en,"Show me a family of readers, and I will show you the people who move the world.",Napoleon Bonaparte,17
quote,en,A good bookshop is just a genteel Black Hole that knows how to read.,Terry Pratchett,14
quote,en,Man reading should be man intensely alive. The book should be a ball of light in one's hand.,Ezra Pound,18
quote,en,"My personal hobbies are reading, listening to music, and silence.",Edith Sitwell,10
quote,en,A library is a place where you can lose your innocence without losing your virginity.,Germaine Greer,15
quote,en,Reading good books ruins you for enjoying bad books.,Mary Ann Shaffer,9
quote,en,"Peeing is like a good book in that it is very, very hard to stop once you start.",John Green,18
quote,en,Take no heed of her.... She reads a lot of books.,Jasper Fforde,11
quote,en,The odd thing about people who had many books was how they always wanted more.,Patricia A. McKillip,15
quote,en,To learn to read is to light a fire; every syllable that is spelled out is a spark.,Victor Hugo,18
quote,en,"Ah, how good it is to be among people who are reading.",Rainer Maria Rilke,12
quote,en,"No entertainment is so cheap as reading, nor any pleasure so lasting.",Mary Wortley Montagu,12
quote,en,"In books I have traveled, not only to other worlds, but into my own.", Anna Quindlen,14
quote,en,Reading is to the mind what exercise is to the body.,Joseph Addison,11
quote,en,No man can be called friendless who has God and the companionship of good books.,,15
quote,en,Not all of us can do great things. But we can do small things with great love.,Mother Teresa,17
quote,en,"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,14
quote,en,Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski,12
quote,en,"You don't love someone because they're perfect, you love them in spite of the fact that they're not.",Jodi Picoult,18
quote,en,"It matters not what someone is born, but what they grow to be.",J.K. Rowling,13
quote,en,"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,13
quote,en,The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas-fils,11
quote,en,Not all those who wander are lost.,J.R.R. Tolkien,7
quote,en,If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,18
quote,en,Do one thing every day that scares you.,Eleanor Roosevelt,8
quote,en,"You don’t have a soul, Doctor. You are a soul. You have a body, temporarily.",Walter M. Miller Jr,15
quote,en,Some infinities are bigger than other infinities.,John Green,7
quote,en,Things change. And friends leave. Life doesn't stop for anybody,Stephen Chbosky,10
quote,en,"If there's a book that you want to read, but it hasn't been written yet, then you must write it.",Toni Morrison,20
quote,en,The only way out of the labyrinth of suffering is to forgive.,John Green,12
quote,en,"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",Jess C. Scott,17
quote,en,Go to heaven for the climate and hell for the company.,Benjamin Franklin Wade,11
quote,en,The reason I talk to myself is because I’m the only one whose answers I accept,George Carlin,16
quote,en,"And, when you want something, all the universe conspires in helping you to achieve it.",Paulo Coelho,15
quote,en,"He's like a drug for you, Bella.",Stephenie Meyer,7
quote,en,BooH! BoOH? BOOH.% bOoH! ,Monkey,5
quote,en,"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",J.K. Rowling,17
quote,en,There is nothing to writing. All you do is sit down at a typewriter and bleed., Ernest Hemingway,16
quote,en,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,17
quote,en,cocK=a-dOodLe-dOo coCk-a-DodlE&&doo coCk฿a-dOodLE-dOo cOcK-A+dOodLE-doo,Chicken,4
,,Be yourself; everyone else is already,Oscar Wilde,
,,"So many books, so little time.",Frank Zappa,
,,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,
,,A room without books is like a body,Marcus Tullius Cicero,
,,"You only live once, but if you do it right,once is enough ",Mae West,
,,Be the change that you wish to see in the world ,Mahatma Gandhi,